,True min,Feature Range
0,29.9999,2403.8201000000004
1,8.86357e-06,0.76368613643
2,44.9476,2056.6324
3,-543.821,1266.112
4,-648.385,1118.619
5,-2022.31,4084.2
6,42.0486,1801.3113999999998
7,-700.112,1105.438
8,-459.801,1095.535
9,-1647.6,3477.97
10,120.938,1341.692
11,0.100445,423.043555
